,COM,DAT,DATA,SIT,ADA,REM,REC,SEL,PRE,CON,TAS
Value for the customer,h,h,h,h,h,h,h,h,h,h,h
Value for the producer,h,h,h,h,h,h,h,h,h,h,h
Risks for the customer,h,m,m,l,l,m,l,l,l,l,l
Risks for the producer,l,m,m,l,l,m,l,l,l,l,l
Cost of development,m,m,h,m,h,m,h,h,h,h,m
Cost of implementation,m,m,m,m,l,l,m,m,m,m,h
Return of investment,h,h,h,m,m,m,m,m,h,h,h
Market establishment,h,m,m,m,l,l,l,l,l,l,l
